"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-07",,"76","60"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-08",,"74","57"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-09",,"73","55"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-10",,"75","55"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-11",,"81","55"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-12",,"70","62"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-13",,"78","60"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-14",,"69","60"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-15",,"70","60"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-16",,"83","63"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-17",,"79","65"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-18",,"81","65"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-19",,"77","60"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-20",,"78","65"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-21",,"81","61"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-22",,"75","64"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-23",,"80","67"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-24",,"80","69"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-25",,"82","68"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-26",,"87","67"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-27",,"88","66"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-28",,"85","68"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-29",,"80","66"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-30",,"89","70"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-01",,"77","63"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-02",,"80","63"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-03",,"80","66"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-04",,"79","63"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-05",,"80","66"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-06",,"75","62"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-07",,"78","65"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-08",,"83","64"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-09",,"90","66"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-10",,"80","70"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-11",,"81","69"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-12",,"87","68"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-13",,"84","70"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-14",,"75","63"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-15",,"79","63"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-16",,"83","65"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-17",,"83","67"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-18",,"84","69"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-19",,"84","70"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-20",,"84","70"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-21",,"81","64"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-22",,"83","66"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-23",,"88","70"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-24",,"88","72"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-25",,"84","65"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-26",,"83","65"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-27",,"76","65"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-28",,"85","67"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-29",,"85","71"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-30",,"78","65"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-07-31",,"83","69"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-01",,"84","67"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-02",,"85","68"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-03",,"91","74"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-04",,"77","67"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-05",,"72","64"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-06",,"81","65"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-07",,"83","65"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-08",,"89","71"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-09",,"82","68"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-10",,"84","67"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-11",,"75","64"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-12",,"78","67"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-13",,"74","64"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-14",,"77","64"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-15",,"84","69"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-16",,"73","64"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-17",,"82","63"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-18",,"80","64"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-19",,"71","62"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-20",,"81","66"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-21",,"90","67"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-22",,"85","70"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-23",,"85","72"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-24",,"78","66"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-25",,"75","59"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-26",,"77","59"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-27",,"86","65"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-28",,"89","71"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-29",,"90","72"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-30",,"89","75"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-08-31",,"79","72"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-01",,"87","72"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-02",,"81","66"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-03",,"72","58"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-04",,"76","63"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-05",,"77","65"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-06",,"80","60"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-07",,"80","64"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-08",,"83","66"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-09",,"83","69"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-10",,"81","67"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-11",,"67","61"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-12",,"69","62"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-13",,"75","60"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-14",,"71","55"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-15",,"74","58"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-16",,"74","62"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-17",,"68","55"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-18",,"67","62"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-19",,"67","60"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-20",,"66","57"
